Catalog_Number,Tissue_No_,Genus,Species,Subspecies,Weight
LSUMZ 50809,,Pachyramphus,albogriseus,ornatus,16.2
EBRG 419,,Pachyramphus,albogriseus,albogriseus,20
EBRG 2369,,Pachyramphus,albogriseus,albogriseus,19.8
LSUMZ 128671,8114,Pachyramphus,albogriseus,albogriseus,24
EBRG 852,,Pachyramphus,albogriseus,albogriseus,20
EBRG 420,,Pachyramphus,albogriseus,albogriseus,22.5
MECN 7251,ZMUC tissue-146558,Pachyramphus,albogriseus,albogriseus,17
ANSP 176984,6079,Pachyramphus,albogriseus,albogriseus,24.5
AMNH 821005,,Pachyramphus,albogriseus,albogriseus,26
AMNH 820970,,Pachyramphus,albogriseus,albogriseus,25.2
WFVZ 44927,,Pachyramphus,salvini,salvini,18
WFVZ 48257,,Pachyramphus,salvini,salvini,15.3
ANSP 181149,,Pachyramphus,salvini,salvini,16
MECN 6099,,Pachyramphus,salvini,salvini,17.5
LSUMZ 78611,,Pachyramphus,salvini,salvini,19
LSUMZ 82029,,Pachyramphus,salvini,salvini,15
LSUMZ 201356,33374,Pachyramphus,salvini,salvini,15.9
LSUMZ 201357,33375,Pachyramphus,salvini,salvini,15.7
LSUMZ 201360,33380,Pachyramphus,salvini,salvini,16.6
LSUMZ 172282,33348,Pachyramphus,salvini,salvini,15.6
LSUMZ 92586,,Pachyramphus,salvini,salvini,20
LSUMZ 88192,,Pachyramphus,salvini,salvini,19
LSUMZ 88193,,Pachyramphus,salvini,salvini,19
LSUMZ 183173,66983,Pachyramphus,salvini,salvini,17.6
LSUMZ 183174,67068,Pachyramphus,salvini,salvini,16
MCZ 366189,,Pachyramphus,salvini,salvini,17.46
MCZ 14005,,Pachyramphus,salvini,salvini,17.6
MCZ 14006,,Pachyramphus,salvini,salvini,14.6
LSUMZ 88194,,Pachyramphus,salvini,salvini,16.5
WFVZ 46243,,Pachyramphus,salvini,salvini,19
WFVZ 48698,,Pachyramphus,salvini,salvini,17.6
ANSP 181150,,Pachyramphus,salvini,salvini,17
ANSP 180429,LSUMZ 12134,Pachyramphus,salvini,salvini,15
ANSP 184815,,Pachyramphus,salvini,salvini,19
ANSP 185628,,Pachyramphus,salvini,salvini,15.5
LSUMZ 84996,,Pachyramphus,salvini,salvini,18.5
LSUMZ 82030,,Pachyramphus,salvini,salvini,16.8
LSUMZ 201350,33364,Pachyramphus,salvini,salvini,16.3
LSUMZ 201358,33376,Pachyramphus,salvini,salvini,19.9
LSUMZ 172283,33362,Pachyramphus,salvini,salvini,16
LSUMZ 172284,33445,Pachyramphus,salvini,salvini,16.2
LSUMZ 172285,33450,Pachyramphus,salvini,salvini,15.3
LSUMZ 113870,5154,Pachyramphus,salvini,salvini,12.5
LSUMZ 100684,,Pachyramphus,salvini,salvini,23
LSUMZ 183172,66474,Pachyramphus,salvini,salvini,15.5
LSUMZ 183171,66392,Pachyramphus,salvini,salvini,16
MCZ 366201,,Pachyramphus,salvini,salvini,15.1
