Institution,voucher.id,species,subspecies,rec.taxa,date,Type.status,collector,locality,country,elevation,habitat,age,sex,culmen.length,culmen.width,culmen.depth,tail.length,wing.flat,tarsus.length,alula.color,alula.margin,lore.color,lore.black.length,tail.gray.length,no.gray.rectrices,collar.color (pale/uniform),crown.color,mantle.color,supraloral.color,post.ocular.color,widest.median.tip,widest.greater.tip,wing.bar.ratio,throat color,breast,belly,undertail.covs,lat, notes
ANSP,176984,P. albogriseus,albogriseus,P. a. albogriseus,6/24/84,No,F.B. GILL,"W. SLOPE CORD DEL CUTUC«U; ""YOPITYA"" ON TRAIL TO YAUPI; MORONA-SANTIAGO",Ecuador,1700,CANOPY,A,F,10.17,7.58,6.06,52,73,NA,brown,0,black,3.64,NA,NA,pale,chestnut,olive,white,black,5.13,3.1,1.65483871,light gray,yellow,yellow,yellow,,
AMNH,821005,P. albogriseus,albogriseus,P. a. albogriseus,7/12/69,No,J. S. Weske,Cerros del Sira; Huanuco,Peru,1300,Cloud forest,A,F,10.65,7.76,6.31,54,77,18,brown,0,black,5.51,NA,NA,pale,chestnut,olive,white,black,4.24,4.5,0.942222222,light gray,yellow,yellow,yellow,,
AMNH,820970,P. albogriseus,albogriseus,P. a. albogriseus,7/31/69,No,J. S. Weske,Cerros del Sira; Huanuco,Peru,1300,Cloud forest,A,F,10.8,7.54,5.76,57,76,17.55,brown,0,black,6.01,NA,NA,pale,chestnut,olive,white,black,5.67,3.3,1.718181818,light gray,yellow,yellow,yellow,,
AMNH,820701,P. albogriseus,albogriseus,P. a. albogriseus,8/21/68,No,John W. Terborgh,Huanhuachayo; Ayachucho,Peru,1660,Second growth woodland,U,F,10,7.02,5.91,54,76,16.9,brown,0,black,4.14,NA,NA,pale,chestnut,olive,white,black,3.94,2.93,1.344709898,light gray,yellow,yellow,yellow,,
AMNH,494146,P. albogriseus,albogriseus,P. a. albogriseus,1/7/10,No,S. M. Klages,Cumbra de Valencia; Inland of Pto. Cabello,Venezuela,NA,NA,U,F,9.45,7.13,5.68,55,73,NA,brown,0,black,4.14,NA,NA,pale,chestnut,olive-gray,white,black,3.99,3.24,1.231481481,yellow,yellow,yellow,yellow,,
AMNH,188403,P. albogriseus,albogriseus,P. a. albogriseus,3/10/25,No,Tate & Clement,Rio Neveri,Venezuela,730,NA,U,F,9.9,7.15,5.54,56,69,NA,brown,0,black,5.6,NA,NA,pale,chestnut,olive-gray,white,black,4.58,1.52,3.013157895,yellow,yellow,yellow,yellow,,
AMNH,494148,P. albogriseus,albogriseus,P. a. albogriseus,2/25/1898,No,Caracciolo,Forest of los Palmales; CumaNA,Venezuela,NA,NA,U,F,9.35,6.7,NA,57,71,NA,brown,0,black,2.6,NA,NA,pale,chestnut,olive-gray,white,black,4.69,2.82,1.663120567,light gray,yellow,yellow,yellow,,
AMNH,32779?,P. albogriseus,coronatus,P. a. albogriseus,4/1/1899,No,G. H. Hull?,SaNAta Marta?,Colombia,NA,NA,U,F?,9.97,7.46,5.95,55,69,NA,brown,0,black,5.75,NA,NA,pale,chestnut,olive,white,black,4.44,1.83,2.426229508,ivory,yellow,yellow,yellow,,
AMNH,820943,P. albogriseus,albogriseus,P. a. albogriseus,8/7/69,No,J. S. Weske,Cerros del Sira; Huanuco,Peru,1550,Cloud forest,A,M,10.14,7.34,5.76,56,81,19.91,black,0,black,3.81,0,0,pale,steel blue,gray ,white,black,3.97,2.94,1.350340136,light gray,light gray,light gray,white,,
AMNH,820700,P. albogriseus,albogriseus,P. a. albogriseus,8/19/68,No,John W. Terborgh,Huanhuachayo; Ayachucho,Peru,1660,Second growth woodland,A,M,10.2,7.31,5.91,57,78,18.07,black,0,black,2.67,0,0,pale,steel blue,gray ,white,black,4,3.15,1.26984127,light gray,light gray,white,white,,
